Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_length_0,arm_length_1,arm_length_2,head_direction_x,head_direction_y,head_direction_z
0,0.5774,0,0,-0.2887,0.5,0,-0.2887,-0.5,0,0,1,0,0,1,0,0,-1,0,1,1,1,1,0,0
0.1,0.65491,7.43273e-19,0,-0.32523,0.4995,0,-0.32523,-0.4995,0,0.920091,1,0.0953616,0.920091,1,0.0953616,-0.364873,-1,0.00163007,1.09908,1.09908,0.999,1,1.13492e-18,0
0.2,0.730134,1.00059e-19,0,-0.361064,0.4995,0,-0.361064,-0.4995,0,0.872013,1,0.0894558,0.872013,1,0.0894558,-0.31906,-1,0,1.19909,1.19909,0.999,1,1.37042e-19,0
0.3,0.803825,-8.80035e-19,0,-0.396488,0.4995,0,-0.396488,-0.4995,0,0.836164,1,0.0853092,0.836164,1,0.0853092,-0.28428,-1,0,1.2991,1.2991,0.999,1,-1.09481e-18,0
0.4,0.876343,-1.54362e-18,0,-0.431628,0.4995,0,-0.431628,-0.4995,0,0.808482,1,0.0821623,0.808482,1,0.0821623,-0.256868,-1,0,1.3991,1.3991,0.999,1,-1.76144e-18,0
0.5,0.947938,-2.42477e-18,0,-0.466567,0.4995,0,-0.466567,-0.4995,0,0.786515,1,0.0796988,0.786515,1,0.0796988,-0.234636,-1,0,1.49911,1.49911,0.999,1,-2.55794e-18,0
0.6,0.947938,-2.42477e-18,0,-0.466567,0.4995,0,-0.466567,-0.4995,0,0,1,0,0,1,0,0,-1,0,1.50011,1.50011,0.999,1,-2.55794e-18,0
0.7,0.947101,-2.48028e-18,0,-0.466166,0.5,0,-0.466166,-0.5,0,-0.903536,-1,0.000903536,-0.903536,-1,0.000903536,1.37838,1,0.00137838,1.50011,1.50011,0.999,1,-2.63253e-18,0
0.8,0.861151,-3.6263e-18,0,-0.42535,0.55,0,-0.42535,-0.55,0,-0.980721,-1,0.0940431,-0.980721,-1,0.0940431,1.43594,1,0.140516,1.40014,1.40014,1.099,1,-4.23527e-18,0
0.9,0.769733,-4.49915e-18,0,-0.382595,0.6,0,-0.382595,-0.6,0,-1.091,-1,0.103284,-1.091,-1,0.103284,1.52806,1,0.147885,1.30018,1.30018,1.199,1,-5.8828e-18,0
1,0.670838,-3.35702e-18,0,-0.336958,0.65,0,-0.336958,-0.65,0,-1.2616,-1,0.11703,-1.2616,-1,0.11703,1.68001,1,0.159807,1.20023,1.20023,1.299,1,-5.04131e-18,0
1.1,0.560899,-1.28346e-18,0,-0.286734,0.7,0,-0.286734,-0.7,0,-1.5602,-1,0.139661,-1.5602,-1,0.139661,1.95729,1,0.180459,1.10031,1.10031,1.399,1,-2.30854e-18,0
1.2,0.432355,4.82022e-18,0,-0.228239,0.75,0,-0.228239,-0.75,0,-2.21552,-1,0.184041,-2.21552,-1,0.184041,2.58575,1,0.222455,1.00044,1.00044,1.499,1,1.12775e-17,0
